sex,weight,length,head.w,neck.g,chest.g
male,65,45,5,15,23
female,70,47.5,6.5,20,24
female,74,57,6,17,27
female,142,59.5,5,20.5,38
female,121,62,6,18,31
male,80,53,5.5,16,26
male,108,56,5.5,17,30.5
male,344,67.5,9,28,45
male,371,78,9,27,49
male,416,72,8,31,54
male,432,77,8,32,52
male,348,72,10,31.5,49
male,476,75,7.5,32,54.5
male,478,75,8,32,55
male,386,75,9,33,49
female,166,62,6.5,22,35
female,220,70,7,21,41
male,334,78,6.5,28,45
male,262,73.5,7.5,26.5,41
male,360,68.5,8,27,49
male,416,76,7,29.3,53
female,204,64,7,20,38
female,144,58,6,18,31
male,122,60.3,8.3,18.5,32
male,332,73,9,29,44
male,34,37,4.5,13,19
female,140,63,4.5,10.5,32
male,180,67,5,21.5,37
female,105,52,5,17.5,29
male,166,59,8,21.5,33
male,204,64,7,24,39
male,250,66,7.5,26.5,40
female,115,36,4.5,12,19
male,120,59,6,19,30
male,114,59,6,19,30
male,210,66.5,6.5,23,38
male,432,72,9.5,30,48
female,125,57.5,5,19,32
female,152,57,6,19,34
female,176,61,6.5,19.5,36
female,132,61,5,20,33
female,180,57,5,18.5,35
male,90,54,5,17,28
male,140,57.8,5.5,20.5,34.5
male,40,40,4,13,23
male,220,63,6,24,42
male,46,43,4,13.5,23
male,60,45,5,15,25
male,154,66.5,6,22,34
female,116,60.5,5.5,17.5,31
female,182,60,6.5,21,34.5
male,150,61,5.5,20,34
male,180,65,6.5,26,39
male,172,63,6,20,35
male,150,59.5,6,21,32.5
male,90,50.5,4,16,28
male,65,40,4.5,16,26
female,356,64,6.5,28,48
female,316,65,6.5,26,48
male,148,60.5,5.5,19,34
male,104,52.5,5.5,17.5,30
male,94,49,5,17,29
male,230,47,5,17,29.5
male,150,59,7,21,35
male,166,64,6,21,35
male,270,72,6.5,27,44.5
male,400,79,9,29,50
male,248,62,7,24.5,41
male,278,70.5,6.5,26,41
male,297,69,7,26.5,46.5
male,350,75,9,31.5,47
male,114,53,5,17,30.5
female,76,52.5,5,15,28
female,48,46,4.5,13,23
female,148,57,6,19,34.5
female,114,58,5,17,29
female,115,58,5,17,29.5
female,158,60,7.5,19,34
male,198,63,6.5,21,35
female,114,58.5,5,19,33.5
female,135,61,6,17.5,33
female,130,58,5,17,29
male,130,60,6.5,18,30
male,190,64,6.5,22,36
